review_status,slug,title,published_at,published_date_label,publication,section,rights_status,original_url,embedded_url_candidates,review_note
missing_original_url,folder-article-109d571c,ধর্ষণে বিপর্যস্ত বাংলাদেশ,2020-10-11,১১ অক্টোবর ২০২০,সংবাদ,মতামত,full_text_permitted,,,Original publication URL is not present in the archive record; investigate separately.
missing_original_url,folder-article-bbfbdf0a,ধর্ষণের বর্বরতা,2020-10-04,৪ অক্টোবর ২০২০,সংবাদ,মতামত,full_text_permitted,,,Original publication URL is not present in the archive record; investigate separately.
missing_original_url,folder-article-14d28a35,খিচুড়ি নিয়ে মাতম,2020-09-27,২৭ সেপ্টেম্বর ২০২০,সংবাদ,মতামত,full_text_permitted,,,Original publication URL is not present in the archive record; investigate separately.
missing_original_url,folder-article-379aac2d,মসজিদে বিস্ফোরণ,2020-09-20,২০ সেপ্টেম্বর ২০২০,সংবাদ,মতামত,full_text_permitted,,,Original publication URL is not present in the archive record; investigate separately.
missing_original_url,folder-article-7d839d86,সিটি কর্পোরেশনের সারমেয়নীতি,2020-09-13,১৩ সেপ্টেম্বর ২০২০,সংবাদ,মতামত,full_text_permitted,,,Original publication URL is not present in the archive record; investigate separately.
missing_original_url,folder-article-0483a9ca,ভারত-বাংলাদেশ-চীন,2020-09-06,৬ সেপ্টেম্বর ২০২০,সংবাদ,মতামত,full_text_permitted,,,Original publication URL is not present in the archive record; investigate separately.
missing_original_url,folder-article-a2625573,খাল ও জলাবদ্ধতার রাজনীতি,2020-08-17,১৭ আগস্ট ২০২০,সংবাদ,মতামত,full_text_permitted,,,Original publication URL is not present in the archive record; investigate separately.
missing_original_url,folder-article-b4d62896,করোনার ভ্যাকসিন,2020-07-26,২৬ জুলাই ২০২০,সংবাদ,মতামত,full_text_permitted,,,Original publication URL is not present in the archive record; investigate separately.
missing_original_url,folder-article-a4f07fca,শাহেদের কিশোরী মেয়েও বিব্রত,2020-07-19,১৯ জুলাই ২০২০,সংবাদ,মতামত,full_text_permitted,,,Original publication URL is not present in the archive record; investigate separately.
missing_original_url,folder-article-dcbc45bf,টাকায় বাঘের দুধ মেলে,2020-07-12,১২ জুলাই ২০২০,সংবাদ,মতামত,full_text_permitted,,,Original publication URL is not present in the archive record; investigate separately.
missing_original_url,folder-article-1d41a95e,মন্দা অর্থনীতির কবলে ব্যাংক,2020-07-05,৫ জুলাই ২০২০,সংবাদ,মতামত,full_text_permitted,,,Original publication URL is not present in the archive record; investigate separately.
missing_original_url,folder-article-b369cb68,আল্লাহ মালিক কাজেমী,2020-06-28,২৮ জুন ২০২০,সংবাদ,মতামত,full_text_permitted,,,Original publication URL is not present in the archive record; investigate separately.
missing_original_url,folder-article-a30b6236,লকডাউনে মানসিক দুশ্চিন্তা,2020-06-21,২১ জুন ২০২০,সংবাদ,মতামত,full_text_permitted,,,Original publication URL is not present in the archive record; investigate separately.
missing_original_url,folder-article-440439d6,আমরা সবাই বর্ণচোরা বর্ণবাদী,2020-06-14,১৪ জুন ২০২০,সংবাদ,মতামত,full_text_permitted,,,Original publication URL is not present in the archive record; investigate separately.
missing_original_url,folder-article-bea6d501,পশু-পাখী হত্যা,2020-05-31,৩১ মে ২০২০,সংবাদ,মতামত,full_text_permitted,,,Original publication URL is not present in the archive record; investigate separately.
missing_original_url,folder-article-871e2051,ত্রাতার ভূমিকায় পুলিশ ও সশস্ত্রবাহিনী,2020-05-17,১৭ মে ২০২০,সংবাদ,মতামত,full_text_permitted,,,Original publication URL is not present in the archive record; investigate separately.
missing_original_url,folder-article-5a15ad02,গণস্বাস্থের কিট,2020-05-10,১০ মে ২০২০,সংবাদ,মতামত,full_text_permitted,,,Original publication URL is not present in the archive record; investigate separately.
missing_original_url,folder-article-d915f6c4,চিকিৎসকদের আতঙ্ক,2020-05-03,৩ মে ২০২০,সংবাদ,মতামত,full_text_permitted,,,Original publication URL is not present in the archive record; investigate separately.
missing_original_url,folder-article-67e4597e,মাওলানা আনসারীর জানাজা,2020-04-26,২৬ এপ্রিল ২০২০,সংবাদ,মতামত,full_text_permitted,,,Original publication URL is not present in the archive record; investigate separately.
missing_original_url,folder-article-cdbef06b,বাসন্তীর প্রত্যাবর্তনের পদধ্বনি,2020-04-19,১৯ এপ্রিল ২০২০,সংবাদ,মতামত,full_text_permitted,,,Original publication URL is not present in the archive record; investigate separately.
missing_original_url,folder-article-fd3e5e64,আমাদের চরিত্রের বিচিত্র রূপ,2020-04-12,১২ এপ্রিল ২০২০,সংবাদ,মতামত,full_text_permitted,,,Original publication URL is not present in the archive record; investigate separately.
missing_original_url,folder-article-0d941a9d,‘মরিতে চাহি না আমি সুন্দর ভুবনে’,2020-04-06,৬ এপ্রিল ২০২০,সংবাদ,মতামত,full_text_permitted,,,Original publication URL is not present in the archive record; investigate separately.
missing_original_url,folder-article-c8cadb70,করোনাভাইরাসের কবিরাজগণ,2020-03-29,২৯ মার্চ ২০২০,সংবাদ,মতামত,full_text_permitted,,,Original publication URL is not present in the archive record; investigate separately.
missing_original_url,folder-article-95e35ab1,মুজিববর্ষ,2020-03-22,২২ মার্চ ২০২০,সংবাদ,মতামত,full_text_permitted,,,Original publication URL is not present in the archive record; investigate separately.
missing_original_url,folder-article-66adcdb1,করোনায় বিশ্বায়ন বিপর্যস্ত,2020-03-15,১৫ মার্চ ২০২০,সংবাদ,মতামত,full_text_permitted,,,Original publication URL is not present in the archive record; investigate separately.
missing_original_url,folder-article-4f5f3215,দিল্লির শাহীনবাগ,2020-03-08,৮ মার্চ ২০২০,সংবাদ,মতামত,full_text_permitted,,,Original publication URL is not present in the archive record; investigate separately.
missing_original_url,folder-article-ebc61efd,অসুস্থ রাজনীতির বিকার,2020-03-01,১ মার্চ ২০২০,সংবাদ,মতামত,full_text_permitted,,,Original publication URL is not present in the archive record; investigate separately.
missing_original_url,folder-article-57299a30,আমি ভোট দিয়েছি,2020-02-01,১ ফেব্রুয়ারি ২০২০,সংবাদ,মতামত,full_text_permitted,,,Original publication URL is not present in the archive record; investigate separately.
missing_original_url,folder-article-a414d34a,‘জজ মিয়া’ মানে ‘সাজানো-নাটক’,2020-01-01,২০২০ (তারিখ অনির্দিষ্ট),সংবাদ,মতামত,full_text_permitted,,,Original publication URL is not present in the archive record; investigate separately.
missing_original_url,folder-article-654eb6c1,করোনা-ভ্যাকসিন আবিস্কার,2020-01-01,২০২০ (তারিখ অনির্দিষ্ট),সংবাদ,মতামত,full_text_permitted,,,Original publication URL is not present in the archive record; investigate separately.
missing_original_url,folder-article-71c794fb,করোনাভাইরাসের ছোবল,2020-01-01,২০২০ (তারিখ অনির্দিষ্ট),সংবাদ,মতামত,full_text_permitted,,,Original publication URL is not present in the archive record; investigate separately.
missing_original_url,folder-article-fa220b8b,জনগণের ওপর আস্থা নেই,2020-01-01,২০২০ (তারিখ অনির্দিষ্ট),সংবাদ,মতামত,full_text_permitted,,,Original publication URL is not present in the archive record; investigate separately.
missing_original_url,folder-article-e1cc46a2,দেশে দেশে নিপীড়িত সংখ্যালঘু,2020-01-01,২০২০ (তারিখ অনির্দিষ্ট),সংবাদ,মতামত,full_text_permitted,,,Original publication URL is not present in the archive record; investigate separately.
missing_original_url,folder-article-eceab4e4,নড়বড় লকডাউন,2020-01-01,২০২০ (তারিখ অনির্দিষ্ট),সংবাদ,মতামত,full_text_permitted,,,Original publication URL is not present in the archive record; investigate separately.
